selection	configuration	ori_proportion	k	b	generation	layout_run	N_mean	prop_F1	prop_hybrid	HI_mean	n_internal_reps	kb
sel_E	dispersed	0.4	30	0.03	1000	2	1457.6	0.0237287777829558	0.999426767060265	0.761564052743809	20	k30 b0.03
sel_E	dispersed	0.4	30	0.03	1000	3	1450.1	0.0244565615109253	0.999787861612566	0.770370110824754	20	k30 b0.03
sel_E	dispersed	0.4	30	0.03	1000	4	1489.85	0.0248691554382865	0.999669332221202	0.753614374883595	20	k30 b0.03
sel_E	dispersed	0.4	30	0.03	1000	5	1454.75	0.0250260648324113	0.999735780820006	0.76203357167368	20	k30 b0.03
sel_E	multi_cluster	0.1	30	0.03	1000	1	1383.45	0.0012122760016126	0.905637113202745	0.339658761924313	20	k30 b0.03
sel_E	multi_cluster	0.1	30	0.03	1000	2	1416.9	0.000999461076272211	0.897472568497266	0.342085599093955	20	k30 b0.03
sel_E	multi_cluster	0.1	30	0.03	1000	3	1402.45	0.000866161887761461	0.841835822257565	0.257155684090285	20	k30 b0.03
sel_E	multi_cluster	0.1	30	0.03	1000	4	1397.6	0.00101735226967055	0.831763919971105	0.263625008197768	20	k30 b0.03
sel_E	multi_cluster	0.1	30	0.03	1000	5	1424.75	0.0016054372768654	0.898416793658273	0.319031475822805	20	k30 b0.03
sel_E	multi_cluster	0.25	30	0.03	1000	1	1472.3	0.0183450244076493	0.999230087292232	0.712613703919167	20	k30 b0.03
sel_E	multi_cluster	0.25	30	0.03	1000	2	1471.55	0.0192955119214173	0.998955428405419	0.716354170170283	20	k30 b0.03
sel_E	multi_cluster	0.25	30	0.03	1000	3	1463.05	0.00999763268555273	0.996500795584806	0.618514810930623	20	k30 b0.03
sel_E	multi_cluster	0.25	30	0.03	1000	4	1463.45	0.0196816283147174	0.997241082799109	0.706645652374417	20	k30 b0.03
sel_E	multi_cluster	0.25	30	0.03	1000	5	1476.95	0.0188414708398278	0.999173435144847	0.705550103919149	20	k30 b0.03
sel_E	multi_cluster	0.4	30	0.03	1000	1	1419.85	0.0253357399345037	0.999682619325884	0.775688165193117	20	k30 b0.03
sel_E	multi_cluster	0.4	30	0.03	1000	2	1462.25	0.0226868927230085	0.999857360890735	0.772857070592238	20	k30 b0.03
sel_E	multi_cluster	0.4	30	0.03	1000	3	1430.2	0.0226624561659309	0.99989932885906	0.767348135561641	20	k30 b0.03
sel_E	multi_cluster	0.4	30	0.03	1000	4	1481.25	0.0259432818598361	0.999778356540671	0.776687251093441	20	k30 b0.03
sel_E	multi_cluster	0.4	30	0.03	1000	5	1458.25	0.026604661649336	0.999747454722045	0.762207716129543	20	k30 b0.03
sel_E	one_cluster	0.1	30	0.03	1000	1	1458.55	0.002047928488057	0.964526109009506	0.402205694483469	20	k30 b0.03
sel_E	one_cluster	0.1	30	0.03	1000	2	1431.45	0.00141622309977619	0.945749761541692	0.383196994611464	20	k30 b0.03
sel_E	one_cluster	0.1	30	0.03	1000	3	1401.4	0.00267722915967124	0.952991085804432	0.404232306803499	20	k30 b0.03
sel_E	one_cluster	0.1	30	0.03	1000	4	1407.2	0.000966298898352483	0.942908022404753	0.359253789773074	20	k30 b0.03
sel_E	one_cluster	0.1	30	0.03	1000	5	1447.75	0.0026475631966674	0.985334161643159	0.47500464016398	20	k30 b0.03
sel_E	one_cluster	0.25	30	0.03	1000	1	1428.9	0.0190805424077844	0.999656720596197	0.717005733682101	20	k30 b0.03
sel_E	one_cluster	0.25	30	0.03	1000	2	1452.95	0.0186252493322632	0.999071732766037	0.706451581173484	20	k30 b0.03
sel_E	one_cluster	0.25	30	0.03	1000	3	1494.85	0.019930578500125	0.998789730429657	0.737294189637727	20	k30 b0.03
sel_E	one_cluster	0.25	30	0.03	1000	4	1441.85	0.020739342043551	0.999333874797894	0.727323601335377	20	k30 b0.03
sel_E	one_cluster	0.25	30	0.03	1000	5	1490.1	0.0252557541413801	0.999562918010592	0.750514028326541	20	k30 b0.03
sel_E	one_cluster	0.4	30	0.03	1000	1	1514.2	0.0228234036660292	0.998775849419799	0.732492683949592	20	k30 b0.03
sel_E	one_cluster	0.4	30	0.03	1000	2	1482.05	0.0234692086487567	0.999439913368759	0.76341699552587	20	k30 b0.03
sel_E	one_cluster	0.4	30	0.03	1000	3	1399.85	0.0235487043216117	0.999253629422653	0.761261147179714	20	k30 b0.03
sel_E	one_cluster	0.4	30	0.03	1000	4	1476.45	0.024496705633088	0.999253558248804	0.757156443125523	20	k30 b0.03
sel_E	one_cluster	0.4	30	0.03	1000	5	1472.95	0.0220506454927451	0.99940940773565	0.735600979854798	20	k30 b0.03
sel_E	transects	0.1	30	0.03	1000	1	1443.95	0.000104858663232104	0.788376051866387	0.207656203338147	20	k30 b0.03
sel_E	transects	0.1	30	0.03	1000	2	1378	0.000220972898860999	0.761722877848768	0.200860116323104	20	k30 b0.03
sel_E	transects	0.1	30	0.03	1000	3	1413.7	3.82262996941896e-05	0.785158291743055	0.22178683705809	20	k30 b0.03
sel_E	transects	0.1	30	0.03	1000	4	1419.95	0.000351081083955121	0.885005360226518	0.263910887906727	20	k30 b0.03
sel_E	transects	0.1	30	0.03	1000	5	1390.75	0.00124529101973651	0.886299098831842	0.292165393235387	20	k30 b0.03
sel_E	transects	0.25	30	0.03	1000	1	1454.05	0.0127439299979584	0.997462241791919	0.64915221641491	20	k30 b0.03
sel_E	transects	0.25	30	0.03	1000	2	1470.65	0.0151398398334981	0.99896270997627	0.686784503050874	20	k30 b0.03
sel_E	transects	0.25	30	0.03	1000	3	1452.95	0.0135718531400836	0.996982049464482	0.657981371562691	20	k30 b0.03
sel_E	transects	0.25	30	0.03	1000	4	1413.35	0.0114172511217006	0.996040321688146	0.641456110855563	20	k30 b0.03
sel_E	transects	0.25	30	0.03	1000	5	1424.05	0.0111243632773563	0.995793295657274	0.632792549533666	20	k30 b0.03
sel_E	transects	0.4	30	0.03	1000	1	1462.55	0.023968715435184	0.999867611341418	0.758266887360385	20	k30 b0.03
sel_E	transects	0.4	30	0.03	1000	2	1496.1	0.0218832615487445	0.999654226066674	0.758380696007023	20	k30 b0.03
sel_E	transects	0.4	30	0.03	1000	3	1445.9	0.0241793086875413	0.999295264686247	0.760590405185807	20	k30 b0.03
sel_E	transects	0.4	30	0.03	1000	4	1482	0.020005072902278	0.99953423528456	0.736646560106067	20	k30 b0.03
sel_E	transects	0.4	30	0.03	1000	5	1473.9	0.0241265558542701	0.999449469805782	0.753666112634616	20	k30 b0.03
sel_O	dispersed	0.1	30	0.03	1000	1	1494.4	3.36021505376344e-05	0.739541011696711	0.169376592508776	20	k30 b0.03
sel_O	dispersed	0.1	30	0.03	1000	2	1522.2	3.17258883248731e-05	0.622534247622619	0.124649996883588	20	k30 b0.03
sel_O	dispersed	0.1	30	0.03	1000	3	1544	3.29815303430079e-05	0.554493058924168	0.11116364355449	20	k30 b0.03
sel_O	dispersed	0.1	30	0.03	1000	4	1514.05	0	0.576695107205057	0.115814578682432	20	k30 b0.03
sel_O	dispersed	0.1	30	0.03	1000	5	1486.05	0	0.710766106346322	0.166388440869623	20	k30 b0.03
